app,message_type,week_start_date,volume
APP_01,CUSTOM_005,2023-10-30,79735
APP_01,CUSTOM_005,2023-11-06,70639
APP_01,CUSTOM_005,2023-11-13,82689
APP_01,CUSTOM_005,2023-11-20,91902
APP_01,CUSTOM_005,2023-11-27,80437
APP_01,CUSTOM_005,2023-12-04,59350
APP_01,CUSTOM_005,2023-12-11,72349
APP_01,CUSTOM_005,2023-12-18,80776
APP_01,CUSTOM_005,2023-12-25,69109
APP_01,CUSTOM_005,2024-01-01,95192
APP_01,CUSTOM_005,2024-01-08,83417
APP_01,CUSTOM_005,2024-01-15,68084
APP_01,CUSTOM_005,2024-01-22,71593
APP_01,CUSTOM_005,2024-01-29,76379
APP_01,CUSTOM_005,2024-02-05,77293
APP_01,CUSTOM_005,2024-02-12,63078
APP_01,CUSTOM_005,2024-02-19,65623
APP_01,CUSTOM_005,2024-02-26,66084
APP_01,CUSTOM_005,2024-03-04,84105
APP_01,CUSTOM_005,2024-03-11,85241
APP_01,CUSTOM_005,2024-03-18,81581
APP_01,CUSTOM_005,2024-03-25,56585
APP_01,CUSTOM_005,2024-04-01,64093
APP_01,CUSTOM_005,2024-04-08,64594
APP_01,CUSTOM_005,2024-04-15,20955
APP_01,CUSTOM_005,2024-04-22,66237
APP_01,CUSTOM_005,2024-04-29,75295
APP_01,CUSTOM_005,2024-05-06,63519
APP_01,CUSTOM_005,2024-05-13,82575
APP_01,CUSTOM_005,2024-05-20,48076
APP_01,CUSTOM_005,2024-05-27,75123
APP_01,CUSTOM_005,2024-06-03,96109
APP_01,CUSTOM_005,2024-06-10,63680
APP_01,CUSTOM_005,2024-06-17,53007
APP_01,CUSTOM_005,2024-06-24,55037
APP_01,CUSTOM_005,2024-07-01,85347
APP_01,CUSTOM_005,2024-07-08,55576
APP_01,CUSTOM_005,2024-07-15,59854
APP_01,CUSTOM_005,2024-07-22,72939
APP_01,CUSTOM_005,2024-07-29,79478
APP_01,CUSTOM_005,2024-08-05,62675
APP_01,CUSTOM_005,2024-08-12,61907
APP_01,CUSTOM_005,2024-08-19,69710
APP_01,CUSTOM_005,2024-08-26,64857
APP_01,CUSTOM_005,2024-09-02,71835
APP_01,CUSTOM_005,2024-09-09,74653
APP_01,CUSTOM_005,2024-09-16,23060
APP_01,CUSTOM_005,2024-09-23,88492
APP_01,CUSTOM_005,2024-09-30,55448
APP_01,CUSTOM_005,2024-10-07,56540
APP_01,CUSTOM_005,2024-10-14,60246
APP_01,CUSTOM_005,2024-10-21,66232
APP_01,CUSTOM_005,2024-10-28,59990
APP_01,CUSTOM_005,2024-11-04,64099
APP_01,CUSTOM_005,2024-11-11,84503
APP_01,CUSTOM_005,2024-11-18,84086
APP_01,CUSTOM_005,2024-11-25,70579
APP_01,CUSTOM_005,2024-12-02,75904
APP_01,CUSTOM_005,2024-12-09,56233
APP_01,CUSTOM_005,2024-12-16,69043
APP_01,CUSTOM_005,2024-12-23,74942
APP_01,CUSTOM_005,2024-12-30,56557
APP_01,CUSTOM_005,2025-01-06,71877
APP_01,CUSTOM_005,2025-01-13,78561
APP_01,CUSTOM_005,2025-01-20,82925
APP_01,CUSTOM_005,2025-01-27,77225
APP_01,CUSTOM_005,2025-02-03,102173
APP_01,CUSTOM_005,2025-02-10,85055
APP_01,CUSTOM_005,2025-02-17,59842
APP_01,CUSTOM_005,2025-02-24,93195
APP_01,CUSTOM_005,2025-03-03,72218
APP_01,CUSTOM_005,2025-03-10,62643
APP_01,CUSTOM_005,2025-03-17,34034
APP_01,CUSTOM_005,2025-03-24,61551
APP_01,CUSTOM_005,2025-03-31,70016
APP_01,CUSTOM_005,2025-04-07,62531
APP_01,CUSTOM_005,2025-04-14,54809
APP_01,CUSTOM_005,2025-04-21,83261
APP_01,CUSTOM_005,2025-04-28,77056
APP_01,CUSTOM_005,2025-05-05,70005
APP_01,CUSTOM_005,2025-05-12,45878
APP_01,CUSTOM_005,2025-05-19,52329
APP_01,CUSTOM_005,2025-05-26,50509
APP_01,CUSTOM_005,2025-06-02,65458
APP_01,CUSTOM_005,2025-06-09,88905
APP_01,CUSTOM_005,2025-06-16,81311
APP_01,CUSTOM_005,2025-06-23,215427
APP_01,CUSTOM_005,2025-06-30,63840
APP_01,CUSTOM_005,2025-07-07,68640
APP_01,CUSTOM_005,2025-07-14,98948
APP_01,CUSTOM_005,2025-07-21,76824
APP_01,CUSTOM_005,2025-07-28,93319
APP_01,CUSTOM_005,2025-08-04,83567
APP_01,CUSTOM_005,2025-08-11,41318
APP_01,CUSTOM_005,2025-08-18,67882
APP_01,CUSTOM_005,2025-08-25,59852
APP_01,CUSTOM_005,2025-09-01,65483
APP_01,CUSTOM_005,2025-09-08,86994
APP_01,CUSTOM_005,2025-09-15,31304
APP_01,CUSTOM_005,2025-09-22,79948
APP_01,CUSTOM_005,2025-09-29,80882
APP_01,CUSTOM_005,2025-10-06,65170
APP_01,CUSTOM_005,2025-10-13,70952
APP_01,CUSTOM_005,2025-10-20,74015
APP_01,CUSTOM_010,2023-10-30,2696866
APP_01,CUSTOM_010,2023-11-06,2543437
APP_01,CUSTOM_010,2023-11-13,2397099
APP_01,CUSTOM_010,2023-11-20,2794824
APP_01,CUSTOM_010,2023-11-27,3068548
APP_01,CUSTOM_010,2023-12-04,2215658
APP_01,CUSTOM_010,2023-12-11,2057141
APP_01,CUSTOM_010,2023-12-18,2915575
APP_01,CUSTOM_010,2023-12-25,2513834
APP_01,CUSTOM_010,2024-01-01,2591447
APP_01,CUSTOM_010,2024-01-08,2441970
APP_01,CUSTOM_010,2024-01-15,2332777
APP_01,CUSTOM_010,2024-01-22,2018845
APP_01,CUSTOM_010,2024-01-29,2382458
APP_01,CUSTOM_010,2024-02-05,2779265
APP_01,CUSTOM_010,2024-02-12,1989671
APP_01,CUSTOM_010,2024-02-19,276146
APP_01,CUSTOM_010,2024-02-26,2008413
APP_01,CUSTOM_010,2024-03-04,2582396
APP_01,CUSTOM_010,2024-03-11,2191939
APP_01,CUSTOM_010,2024-03-18,1089477
APP_01,CUSTOM_010,2024-03-25,6141737
APP_01,CUSTOM_010,2024-04-01,2919345
APP_01,CUSTOM_010,2024-04-08,2075832
APP_01,CUSTOM_010,2024-04-15,2206060
APP_01,CUSTOM_010,2024-04-22,2564175
APP_01,CUSTOM_010,2024-04-29,2564184
APP_01,CUSTOM_010,2024-05-06,2760587
APP_01,CUSTOM_010,2024-05-13,2268260
APP_01,CUSTOM_010,2024-05-20,2668150
APP_01,CUSTOM_010,2024-05-27,2289014
APP_01,CUSTOM_010,2024-06-03,2528670
APP_01,CUSTOM_010,2024-06-10,3339874
APP_01,CUSTOM_010,2024-06-17,2174698
APP_01,CUSTOM_010,2024-06-24,2906603
APP_01,CUSTOM_010,2024-07-01,2457736
APP_01,CUSTOM_010,2024-07-08,2828489
APP_01,CUSTOM_010,2024-07-15,2350006
APP_01,CUSTOM_010,2024-07-22,3297709
