app,message_type,frequency_category,regularity_score,mean_volume,std_volume,threshold,adjusted_z_score,z_threshold,percentile_threshold,iqr_threshold
APP_01,CUSTOM_005,daily,1.0,71173.63461538461,20494.27940119355,46207.700000000004,2.0,30185.075812997507,46207.700000000004,34733.75
APP_01,CUSTOM_010,daily,1.0,2448685.701923077,639898.362087922,1654351.6500000001,2.0,1168888.977747233,1654351.6500000001,1467407.125
APP_01,CUSTOM_014,daily,1.0,12275211.23076923,2241326.4451404503,9583359.55,2.0,7792558.3404883295,9583359.55,9160928.625
APP_01,CUSTOM_018,daily,1.0,10736106.346153846,2053277.5386622667,8966921.55,2.0,6629551.268829312,8966921.55,7744589.75
APP_01,CUSTOM_019,daily,1.0,14532416.375,4133542.4682536903,10577133.25,2.0,6265331.438492619,7539595.800000002,10577133.25
APP_01,CUSTOM_031,daily,1.0,9609721.14423077,2954697.943103616,7115879.45,2.0,3700325.2580235377,7115879.45,6796235.25
APP_01,CUSTOM_035,daily,0.8633859487430069,113692.64705882352,44591.65716145616,61225.55,2.136614051256993,18417.48579882177,61225.55,22673.125
APP_01,CUSTOM_037,irregular,0.08228030161110222,21246.947368421053,7168.1571034951385,5210.2,2.9177196983888978,332.27418640698306,5210.2,3350.5
APP_01,CUSTOM_040,daily,1.0,9709759.682692308,1800310.9193175188,8225247.15,2.0,6109137.84405727,8225247.15,7687514.875
APP_01,CUSTOM_042,daily,0.7906421490014774,89524.87878787878,33244.718300722576,42135.4,2.2093578509985226,16075.399405943099,42135.4,27002.75
APP_01,CUSTOM_043,daily,1.0,2910927.9326923075,949949.1836542167,1640530.5,2.0,1011029.5653838741,1640530.5,1633195.75
APP_01,CUSTOM_044,daily,1.0,9207300.14423077,1765377.3647962443,7497979.5,2.0,5676545.414638281,7497979.5,6339966.75
APP_01,CUSTOM_046,irregular,0.2582843247394834,3876.0454545454545,1298.9604402007828,1876.75,2.7417156752605165,314.6652541036674,1876.75,0.0
APP_01,CUSTOM_052,daily,1.0,9446244.692307692,2884388.7312720213,7605624.2,2.0,3677467.2297636494,7605624.2,6149274.25
APP_01,MT106,irregular,0.10378573990367701,32478.74,11183.148749453349,16793.6,2.8962142600963228,89.94511905485342,16793.6,7906.625
APP_01,MT132,irregular,0.2896774917020517,4147.923076923077,2884.1304638563734,1321.8,2.7103225082979483,0.0,1321.8,0.0
