app,message_type,window,avg_volume,total_volume,trend_direction,growth_rate_pct,volatility,slope,data_points,min_volume,max_volume,median_volume
APP_07,MX7209,2_weeks,18733402.5,37466805,increasing,5.303658881266501,0.02583324091819412,967889.0,2,18249458,19217347,18733402.5
APP_07,MX7209,1_month,18386037.5,73544150,stable,3.851336621361688,0.04293651201035132,199081.4,4,17160675,19217347,18583064.0
APP_07,MX7209,3_months,22888952.692307692,297556385,increasing,18.81069451129498,0.49596660027479106,-43715.39560439565,13,17160675,61895622,19630340.0
APP_07,MX7209,6_months,22560107.384615384,586562792,stable,2.9584043097009984,0.4607316439273192,83591.59111111109,26,15971059,61895622,19666779.0
APP_07,MX7209,9_months,21459278.410256412,836911858,increasing,17.604348708452253,0.40599743859696474,145545.27591093117,39,15828235,61895622,19630340.0
APP_07,MX7209,12_months,21038823.884615384,1094018842,increasing,15.588885382290742,0.3624705880139159,96318.2620165628,52,15828235,61895622,19650600.0
APP_07,MX7209,18_months,21128207.269230768,1648000167,stable,3.183814723188184,0.34459781502878223,21688.435678245805,78,15828235,61895622,19650600.0
APP_13,MX2604,2_weeks,19225181.0,38450362,decreasing,-22.61815445730547,0.1275111011958743,-4902848.0,2,16773757,21676605,19225181.0
APP_13,MX2604,1_month,19197199.25,76788797,stable,0.2919446242393567,0.0917437522612407,-380088.7,4,16773757,21676605,19169217.5
APP_13,MX2604,3_months,19995431.846153848,259940614,decreasing,-13.721118305481678,0.10140357973828253,-271780.2472527473,13,16773757,23378991,20225043.0
APP_13,MX2604,6_months,21884635.03846154,569000511,decreasing,-15.893127344179497,0.4069358650055775,-361841.756923077,26,13860545,56827549,20318684.5
APP_13,MX2604,9_months,21232439.897435896,828065156,decreasing,-13.6862529816487,0.34707173003501124,-34490.51133603239,39,13860545,56827549,20225043.0
APP_13,MX2604,12_months,20811251.03846154,1082185054,increasing,10.876393056133024,0.31573264314765265,23677.383761632376,52,13860545,56827549,19940797.5
APP_13,MX2604,18_months,21126670.217948716,1647880277,stable,1.006328718350133,0.3195490592532989,-18304.536058877824,78,13860545,56827549,20176867.0
APP_13,CUSTOM_039,2_weeks,17171119.5,34342239,decreasing,-8.278571050544835,0.043180207324280746,-1482905.0,2,16429667,17912572,17171119.5
APP_13,CUSTOM_039,1_month,18434617.75,73738471,decreasing,-12.828620259927396,0.08428253959795033,-950718.1,4,16429667,20739971,18284416.5
APP_13,CUSTOM_039,3_months,22162458.923076924,288111966,decreasing,-23.635060448933494,0.3238122903946351,-615015.6318681318,13,16429667,45943779,20179877.0
APP_13,CUSTOM_039,6_months,21292553.96153846,553606403,increasing,8.519021812875128,0.28029772185770263,66237.59965811968,26,16429667,45943779,19558925.0
APP_13,CUSTOM_039,9_months,20582937.256410256,802734553,increasing,16.844942124802387,0.2794868787269956,91695.98400809716,39,2333636,45943779,20070886.0
APP_13,CUSTOM_039,12_months,20504995.769230768,1066259780,increasing,7.988443622404927,0.24605444341575616,43079.822248783414,52,2333636,45943779,20077341.0
APP_13,CUSTOM_039,18_months,20180339.692307692,1574066496,stable,4.071218660783506,0.26596777550093226,41074.69006942426,78,2299686,45943779,19913976.0
APP_16,MX1964,2_weeks,27408016.0,54816032,increasing,119.5249470752141,0.3740707827958069,20505076.0,2,17155478,37660554,27408016.0
APP_16,MX1964,1_month,23282448.75,93129795,increasing,43.071386645054936,0.35977058427864317,5134535.5,4,17155478,37660554,19156881.5
APP_16,MX1964,3_months,21538063.769230768,279994829,stable,-1.0118902021213854,0.2531773929080495,320700.55494505493,13,17141841,37660554,20239011.0
APP_16,MX1964,6_months,20642159.846153848,536696156,increasing,9.074165012010232,0.3840349868960623,11162.659145299063,26,4424915,49727893,19719168.5
APP_16,MX1964,9_months,21025001.384615384,819975054,decreasing,-11.202386266286776,0.37791134116744995,-27766.479757085046,39,4424915,49727893,19581955.0
APP_16,MX1964,12_months,21174251.480769232,1101061077,stable,-4.902637277840301,0.40693312043055097,-14140.645564757104,52,4424915,57055988,19298977.0
APP_16,MX1964,18_months,20597719.53846154,1606622124,stable,4.236713676439422,0.34679552673487096,24967.690309690315,78,4424915,57055988,19579391.0
APP_22,MT106,2_weeks,20345576.5,40691153,decreasing,-9.412636600523625,0.04938751674104688,-2009635.0,2,19340759,21350394,20345576.5
